Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,61455,2673,54019,4763,293,4.35,87.9,4.95,38928341,1579.0,59745,1710,2.86
Albania,131577,2408,115253,13916,67,1.83,87.59,2.09,2877800,45721.0,131085,492,0.38
Algeria,123692,3315,86149,34228,219,2.68,69.65,3.85,43851043,2821.0,122108,1584,1.3
Andorra,13390,127,12936,327,27,0.95,96.61,0.98,77265,173300.0,13232,158,1.19
Angola,28201,628,24698,2875,280,2.23,87.58,2.54,32866268,858.0,26652,1549,5.81
Antigua and Barbuda,1232,32,1014,186,0,2.6,82.31,3.16,97928,12581.0,1232,0,0.0
Argentina,3118134,66872,2777902,273360,22552,2.14,89.09,2.41,45195777,68992.0,2977363,140771,4.73
Armenia,218681,4209,203307,11165,356,1.92,92.97,2.07,2963234,73798.0,216064,2617,1.21
Australia,29906,910,23407,5589,13,3.04,78.27,3.89,50919400,587.0,29811,95,0.32
Austria,628817,10351,599854,18612,1333,1.65,95.39,1.73,9006400,69819.0,618870,9947,1.61
Azerbaijan,325407,4650,302860,17897,722,1.43,93.07,1.54,10139175,32094.0,319109,6298,1.97
Bahamas,10773,212,9781,780,62,1.97,90.79,2.17,393248,27395.0,10453,320,3.06
Bahrain,186403,674,173036,12693,1706,0.36,92.83,0.39,1701583,109547.0,176934,9469,5.35
Bangladesh,770842,11833,704341,54668,1682,1.54,91.37,1.68,164689383,4681.0,759132,11710,1.54
Barbados,3931,45,3847,39,2,1.14,97.86,1.17,287371,13679.0,3855,76,1.97
Belarus,366305,2612,356842,6851,1354,0.71,97.42,0.73,9449321,38765.0,358738,7567,2.11
Belgium,1010987,24483,0,986504,3723,2.42,0.0,8.249148936170211,23021022,43916.0,990229,20758,2.1
Belize,12686,323,12288,75,4,2.55,96.86,2.63,397621,31905.0,12668,18,0.14
Benin,7884,100,7652,132,0,1.27,97.06,1.31,12123198,650.0,7821,63,0.81
Bhutan,1190,1,1037,152,29,0.08,87.14,0.1,771612,1542.0,1074,116,10.8
Bolivia,314190,13151,258068,42971,0,4.19,82.14,5.1,11673029,26916.0,303732,10458,3.44
Bosnia and Herzegovina,200693,8790,164717,27186,340,4.38,82.07,5.34,3280815,61172.0,198461,2232,1.12
Botswana,48417,734,46226,1457,0,1.52,95.47,1.59,2351625,20589.0,46934,1483,3.16
Brazil,15082449,419114,13400075,1263260,78886,2.78,88.85,3.13,422706534,35681.0,14659011,423438,2.89
Brunei,229,3,218,8,1,1.31,95.2,1.38,437483,523.0,224,5,2.23
Bulgaria,409495,16886,347870,44739,1123,4.12,84.95,4.85,6948445,58933.0,404380,5115,1.26
Burkina Faso,13353,162,13111,80,0,1.21,98.19,1.24,20903278,639.0,13310,43,0.32
Burma,142903,3210,132000,7693,29,2.25,92.37,2.43,54409800,2626.0,142817,86,0.06
Burundi,4132,6,773,3353,39,0.15,18.71,0.78,11890781,347.0,3995,137,3.43
Cabo Verde,25837,231,22323,3283,311,0.89,86.4,1.03,555988,46470.0,23882,1955,8.19
Cambodia,18179,114,6884,11181,558,0.63,37.87,1.66,16718971,1087.0,13402,4777,35.64
Cameroon,74946,1152,35261,38533,0,1.54,47.05,3.27,26545864,2823.0,72250,2696,3.73
Canada,1281846,24523,1180131,77192,7640,1.91,92.06,2.08,75750184,16922.0,1228367,53479,4.35
Central African Republic,6674,93,5112,1469,0,1.39,76.6,1.82,4829764,1382.0,6411,263,4.1
Chad,4862,170,4622,70,8,3.5,95.06,3.68,16425859,296.0,4817,45,0.93
Chile,1235778,27004,1170437,38337,6530,2.19,94.71,2.31,36692988,33679.0,1198245,37533,3.13
China,102596,4846,97332,418,10,4.72,94.87,4.98,2809352660,37.0,102494,102,0.1
Colombia,2968626,76867,2788751,103008,17525,2.59,93.94,2.76,99141018,29943.0,2859724,108902,3.81
Comoros,3854,146,3682,26,7,3.79,95.54,3.97,869595,4432.0,3834,20,0.52
Congo (Brazzaville),11147,148,8208,2791,131,1.33,73.63,1.8,89561403,124.0,10678,469,4.39
Congo (Kinshasa),30240,772,26324,3144,39,2.55,87.05,2.93,5518087,5480.0,29853,387,1.3
Costa Rica,265486,3365,212525,49596,2392,1.27,80.05,1.58,5094114,52116.0,250991,14495,5.78
Cote d'Ivoire,46344,291,45790,263,29,0.63,98.8,0.64,26378274,1757.0,46036,308,0.67
Croatia,342487,7388,323834,11265,1435,2.16,94.55,2.28,4105268,83426.0,332183,10304,3.1
Cuba,113876,713,107476,5687,1162,0.63,94.38,0.66,11326616,10054.0,106707,7169,6.72
Cyprus,68766,332,39061,29373,324,0.48,56.8,0.85,1207361,56956.0,65233,3533,5.42
Czechia,1642696,29608,1570842,42246,1576,1.8,95.63,1.88,10708981,153394.0,1630758,11938,0.73
